EmployeeID,Sum of EnvironmentSatisfaction,JobSatisfaction,ManagerRating,PerformanceID,Sum of RelationshipSatisfaction,Year,Quarter,Month,Day,Sum of SelfRating,Sum of TrainingOpportunitiesTaken,Sum of TrainingOpportunitiesWithinYear,Sum of WorkLifeBalance
0145-DBFC,5,5,2,PR3478,5,2019,Qtr 4,November,19,3,1,3,2
0145-DBFC,3,5,4,PR4426,2,2020,Qtr 4,November,18,5,1,3,2
0145-DBFC,5,5,5,PR2656,3,2018,Qtr 4,November,19,5,1,3,4
0172-B5D2,3,2,3,PR6331,4,2022,Qtr 3,August,11,4,3,3,4
017D-0B97,3,4,2,PR6480,3,2022,Qtr 4,October,9,3,0,2,4
0210-E0D8,4,2,4,PR1027,2,2016,Qtr 2,April,2,4,1,2,4
0210-E0D8,3,2,4,PR2968,3,2019,Qtr 2,April,2,4,0,3,2
0210-E0D8,3,3,3,PR5900,3,2022,Qtr 2,April,1,3,3,3,5
0210-E0D8,3,3,4,PR273,3,2014,Qtr 2,April,3,5,0,3,2
0210-E0D8,3,3,4,PR4824,5,2021,Qtr 2,April,1,4,2,3,4
0210-E0D8,4,4,2,PR591,4,2015,Qtr 2,April,3,3,1,2,2
0210-E0D8,2,4,3,PR3835,1,2020,Qtr 2,April,1,3,1,2,4
0210-E0D8,4,4,5,PR1573,3,2017,Qtr 2,April,2,5,1,1,4
0210-E0D8,4,5,3,PR2223,4,2018,Qtr 2,April,2,4,0,2,3
022A-0219,4,2,2,PR1880,5,2017,Qtr 4,October,8,3,3,3,3
022A-0219,3,2,2,PR5360,2,2021,Qtr 4,October,7,3,1,3,2
022A-0219,5,3,3,PR6472,2,2022,Qtr 4,October,7,3,1,3,5
022A-0219,4,3,4,PR4327,5,2020,Qtr 4,October,7,5,1,3,4
022A-0219,3,4,5,PR778,5,2015,Qtr 4,October,9,5,2,2,4
022A-0219,5,5,2,PR3392,2,2019,Qtr 4,October,8,3,2,1,2
022A-0219,3,5,3,PR1275,3,2016,Qtr 4,October,8,4,2,2,5
022A-0219,4,5,4,PR2581,4,2018,Qtr 4,October,8,5,0,3,2
0240-4D29,4,4,4,PR5424,4,2021,Qtr 4,November,1,4,0,2,4
0240-4D29,4,4,4,PR6539,2,2022,Qtr 4,November,1,5,1,3,3
0240-4D29,5,5,3,PR1914,3,2017,Qtr 4,November,2,3,1,2,3
0240-4D29,4,5,3,PR3443,5,2019,Qtr 4,November,2,3,1,3,3
0240-4D29,3,5,4,PR4387,5,2020,Qtr 4,November,1,5,1,2,4
0240-4D29,3,5,5,PR2623,5,2018,Qtr 4,November,2,5,0,3,3
02DA-7A72,2,1,4,PR4572,3,2021,Qtr 1,January,14,4,0,1,4
02DA-7A72,3,2,2,PR3606,2,2020,Qtr 1,January,15,3,1,3,4
02DA-7A72,4,2,2,PR5631,2,2022,Qtr 1,January,14,3,0,2,3
02DA-7A72,4,2,4,PR169,3,2014,Qtr 1,January,16,4,0,2,4
02DA-7A72,3,2,4,PR874,4,2016,Qtr 1,January,16,4,1,1,5
02DA-7A72,3,3,2,PR2037,3,2018,Qtr 1,January,15,3,2,3,2
02DA-7A72,3,3,2,PR2760,2,2019,Qtr 1,January,15,3,1,3,5
02DA-7A72,5,3,3,PR461,5,2015,Qtr 1,January,16,3,0,2,2
02DA-7A72,5,3,4,PR1407,3,2017,Qtr 1,January,15,4,0,3,3
02DA-7A72,5,5,4,PR16,5,2013,Qtr 1,January,16,4,0,1,2
0317-B7BC,3,5,2,PR6456,4,2022,Qtr 3,September,29,3,1,1,2
0322-D46B,4,2,2,PR4725,3,2021,Qtr 1,March,2,3,1,1,3
0322-D46B,3,2,5,PR3746,2,2020,Qtr 1,March,2,5,2,2,3
0322-D46B,5,2,5,PR542,4,2015,Qtr 1,March,4,5,2,3,3
0322-D46B,5,3,3,PR2157,5,2018,Qtr 1,March,3,4,1,2,4
0322-D46B,3,3,5,PR2892,2,2019,Qtr 1,March,3,5,0,3,3
0322-D46B,3,4,3,PR5792,5,2022,Qtr 1,March,2,4,2,2,2
0322-D46B,5,5,3,PR971,2,2016,Qtr 1,March,3,4,3,1,2
0322-D46B,4,5,4,PR1516,3,2017,Qtr 1,March,3,5,0,1,5
03C5-51AD,4,2,3,PR93,2,2013,Qtr 1,March,31,3,1,1,4
03C5-51AD,5,3,3,PR1567,5,2017,Qtr 1,March,30,3,0,1,5
03C5-51AD,5,3,3,PR585,2,2015,Qtr 1,March,31,3,0,1,4
03C5-51AD,5,4,2,PR5890,4,2022,Qtr 1,March,29,3,1,3,4
03C5-51AD,4,4,4,PR1021,3,2016,Qtr 1,March,30,5,0,2,4
03C5-51AD,3,4,5,PR2217,5,2018,Qtr 1,March,30,5,1,3,5
03C5-51AD,5,4,5,PR269,4,2014,Qtr 1,March,31,5,1,1,3
03C5-51AD,4,4,5,PR3826,3,2020,Qtr 1,March,29,5,2,2,3
03C5-51AD,5,5,3,PR4815,5,2021,Qtr 1,March,29,3,1,3,4
03C5-51AD,4,5,4,PR2961,4,2019,Qtr 1,March,30,4,0,3,3
03D3-AA88,3,4,4,PR3747,2,2020,Qtr 1,March,2,5,1,1,3
03D3-AA88,4,4,4,PR4726,5,2021,Qtr 1,March,2,5,0,3,2
03D3-AA88,4,5,2,PR5793,5,2022,Qtr 1,March,2,3,0,2,3
03D9-FF08,3,5,3,PR6225,3,2022,Qtr 3,July,7,4,0,3,5
03EF-5904,5,2,3,PR2722,3,2018,Qtr 4,December,29,4,0,3,5
03EF-5904,3,2,3,PR3556,5,2019,Qtr 4,December,29,3,2,3,3
03EF-5904,5,2,3,PR5570,4,2021,Qtr 4,December,28,3,1,3,4
03EF-5904,5,3,4,PR2001,3,2017,Qtr 4,December,29,5,0,2,5
03EF-5904,2,4,4,PR1371,2,2016,Qtr 4,December,29,5,3,1,3
03EF-5904,3,5,3,PR4515,4,2020,Qtr 4,December,28,4,0,1,3
03EF-5904,4,5,4,PR6700,5,2022,Qtr 4,December,28,4,2,3,2
040C-EDED,5,2,3,PR4205,3,2020,Qtr 3,August,12,3,2,3,4
040C-EDED,4,3,2,PR2498,2,2018,Qtr 3,August,13,3,1,3,4
040C-EDED,5,3,2,PR6332,3,2022,Qtr 3,August,12,3,2,3,2
040C-EDED,5,3,4,PR748,4,2015,Qtr 3,August,14,4,1,1,3
040C-EDED,4,4,4,PR5226,3,2021,Qtr 3,August,12,5,0,1,2
040C-EDED,4,5,2,PR3293,3,2019,Qtr 3,August,13,3,0,2,2
040C-EDED,3,5,3,PR1227,2,2016,Qtr 3,August,13,4,1,2,2
040C-EDED,4,5,3,PR1815,3,2017,Qtr 3,August,13,3,0,1,3
040C-EDED,4,5,3,PR379,4,2014,Qtr 3,August,14,3,1,3,2
041A-31B0,2,2,2,PR2799,4,2019,Qtr 1,January,29,3,1,3,2
041A-31B0,4,2,2,PR5678,4,2022,Qtr 1,January,28,3,0,2,5
041A-31B0,3,2,4,PR3648,2,2020,Qtr 1,January,29,5,2,1,3
041A-31B0,3,2,4,PR4617,5,2021,Qtr 1,January,28,5,3,3,4
041A-31B0,4,4,2,PR2071,2,2018,Qtr 1,January,29,3,2,1,3
041A-31B0,3,4,5,PR904,2,2016,Qtr 1,January,30,5,3,1,2
041A-31B0,5,5,3,PR484,3,2015,Qtr 1,January,30,3,0,3,5
041A-31B0,3,5,4,PR1442,5,2017,Qtr 1,January,29,5,0,2,3
04D7-C8F3,1,1,4,PR6338,3,2022,Qtr 3,August,13,4,2,3,4
04D7-C8F3,5,2,2,PR2502,4,2018,Qtr 3,August,14,3,0,1,3
04D7-C8F3,5,3,3,PR5232,5,2021,Qtr 3,August,13,4,1,3,4
04D7-C8F3,3,3,4,PR3297,5,2019,Qtr 3,August,14,4,0,2,4
04D7-C8F3,3,4,4,PR4211,3,2020,Qtr 3,August,13,5,0,1,5
04E6-6B61,5,2,2,PR6454,2,2022,Qtr 3,September,28,3,1,3,3
0592-D909,5,4,5,PR5599,3,2022,Qtr 1,January,4,5,1,3,3
05B0-755F,3,2,5,PR4595,4,2021,Qtr 1,January,19,5,0,2,3
05B0-755F,4,3,4,PR3626,2,2020,Qtr 1,January,20,4,1,1,2
05B0-755F,3,3,4,PR5655,5,2022,Qtr 1,January,19,4,0,1,5
05B0-755F,5,3,5,PR1422,5,2017,Qtr 1,January,20,5,0,2,2
05B0-755F,3,4,3,PR888,2,2016,Qtr 1,January,21,4,1,2,4
05B0-755F,4,4,5,PR2053,3,2018,Qtr 1,January,20,5,0,2,3
05B0-755F,3,4,5,PR2779,4,2019,Qtr 1,January,20,5,1,1,2
05CD-292D,5,2,4,PR4914,5,2021,Qtr 2,April,27,4,0,3,5
05CD-292D,3,3,3,PR3920,5,2020,Qtr 2,April,27,3,3,2,3
05CD-292D,5,3,4,PR5994,4,2022,Qtr 2,April,27,4,2,1,2
05DA-5423,3,4,2,PR4344,3,2020,Qtr 4,October,16,3,0,3,4
05DA-5423,5,4,3,PR3409,3,2019,Qtr 4,October,17,3,1,1,3
05DA-5423,4,4,3,PR5381,4,2021,Qtr 4,October,16,3,0,2,3
05DA-5423,4,5,3,PR6495,5,2022,Qtr 4,October,16,4,1,1,5
05ED-92F1,3,1,4,PR4552,1,2021,Qtr 1,January,8,5,2,2,4
05ED-92F1,3,3,3,PR2746,4,2019,Qtr 1,January,9,4,1,1,2
05ED-92F1,5,4,3,PR160,5,2014,Qtr 1,January,10,4,0,1,5
05ED-92F1,5,4,3,PR2022,3,2018,Qtr 1,January,9,4,0,3,5
05ED-92F1,4,4,4,PR3587,2,2020,Qtr 1,January,9,4,1,3,3
05ED-92F1,5,4,4,PR450,3,2015,Qtr 1,January,10,5,3,3,2
05ED-92F1,4,4,4,PR861,3,2016,Qtr 1,January,10,5,0,2,2
05ED-92F1,4,5,2,PR08,4,2013,Qtr 1,January,10,3,1,1,3
05ED-92F1,4,5,3,PR1390,3,2017,Qtr 1,January,9,4,1,1,3
05ED-92F1,3,5,3,PR5610,4,2022,Qtr 1,January,8,4,3,1,4
05F0-6F7B,3,3,3,PR4829,4,2021,Qtr 2,April,2,3,1,2,3
05F0-6F7B,5,3,5,PR5905,2,2022,Qtr 2,April,2,5,0,1,4
05F0-6F7B,2,4,5,PR3840,2,2020,Qtr 2,April,2,5,1,2,1
0626-7020,3,5,3,PR4905,4,2021,Qtr 2,April,24,4,2,3,4
0626-7020,3,5,5,PR3913,4,2020,Qtr 2,April,24,5,1,2,4
0626-7020,3,5,5,PR5981,2,2022,Qtr 2,April,24,5,2,1,4
0678-748A,3,2,2,PR5590,4,2022,Qtr 1,January,2,3,0,1,2
0678-748A,3,2,3,PR1382,3,2017,Qtr 1,January,3,3,2,3,2
0678-748A,4,2,3,PR2013,4,2018,Qtr 1,January,3,4,2,3,5
0678-748A,5,3,2,PR04,2,2013,Qtr 1,January,4,3,0,2,2
0678-748A,5,3,2,PR156,5,2014,Qtr 1,January,4,3,3,3,4
0678-748A,5,3,2,PR443,3,2015,Qtr 1,January,4,3,0,3,5
0678-748A,5,3,4,PR854,4,2016,Qtr 1,January,4,5,1,2,3
0678-748A,4,5,2,PR2736,2,2019,Qtr 1,January,3,3,1,1,5
0678-748A,5,5,3,PR4535,5,2021,Qtr 1,January,2,4,3,3,2
0678-748A,5,5,4,PR3573,2,2020,Qtr 1,January,3,5,0,1,3
0697-ADC3,5,2,4,PR3540,2,2019,Qtr 4,December,22,4,1,1,5
0697-ADC3,3,4,2,PR1362,4,2016,Qtr 4,December,22,3,2,3,3
0697-ADC3,4,4,2,PR1991,4,2017,Qtr 4,December,22,3,1,2,3
0697-ADC3,5,4,2,PR2710,2,2018,Qtr 4,December,22,3,2,3,2
0697-ADC3,5,4,3,PR4496,5,2020,Qtr 4,December,21,3,1,1,2
0697-ADC3,3,4,4,PR5548,2,2021,Qtr 4,December,21,5,1,1,4
0697-ADC3,4,5,5,PR6676,2,2022,Qtr 4,December,21,5,0,1,4
06B9-B79D,5,2,2,PR2158,5,2018,Qtr 1,March,4,3,1,1,3
06B9-B79D,5,2,3,PR543,4,2015,Qtr 1,March,5,4,1,2,2
06B9-B79D,5,2,4,PR3748,2,2020,Qtr 1,March,3,5,2,2,4
06B9-B79D,3,3,3,PR1517,2,2017,Qtr 1,March,4,4,0,3,5
06B9-B79D,4,3,4,PR2893,2,2019,Qtr 1,March,4,4,0,3,3
06B9-B79D,3,4,4,PR236,5,2014,Qtr 1,March,5,5,0,1,4
06B9-B79D,3,4,4,PR5794,5,2022,Qtr 1,March,3,4,1,1,4
06B9-B79D,5,4,4,PR972,4,2016,Qtr 1,March,4,5,1,2,2
06B9-B79D,4,5,2,PR4728,4,2021,Qtr 1,March,3,3,1,3,4
06DE-E772,4,2,5,PR1688,3,2017,Qtr 2,May,24,5,1,2,4
06DE-E772,3,3,2,PR6086,4,2022,Qtr 2,May,23,3,0,3,2
06DE-E772,4,3,3,PR1129,3,2016,Qtr 2,May,24,4,2,1,2
06DE-E772,3,3,3,PR2349,2,2018,Qtr 2,May,24,3,1,1,5
06DE-E772,2,3,4,PR5001,3,2021,Qtr 2,May,23,5,0,2,1
06DE-E772,3,4,2,PR679,5,2015,Qtr 2,May,25,3,1,1,2
06DE-E772,5,4,3,PR4001,4,2020,Qtr 2,May,23,3,1,3,5
06DE-E772,5,4,4,PR3111,4,2019,Qtr 2,May,24,4,0,2,2
06DE-E772,3,5,4,PR346,4,2014,Qtr 2,May,25,4,2,2,5
06E8-4FD4,5,2,2,PR355,3,2014,Qtr 2,June,5,3,0,1,3
06E8-4FD4,3,2,3,PR1149,3,2016,Qtr 2,June,4,3,1,1,4
06E8-4FD4,3,2,3,PR3141,5,2019,Qtr 2,June,4,4,1,3,5
06E8-4FD4,5,3,3,PR4032,2,2020,Qtr 2,June,3,3,1,3,4
06E8-4FD4,5,3,3,PR6120,5,2022,Qtr 2,June,3,3,1,2,3
06E8-4FD4,3,3,5,PR5034,3,2021,Qtr 2,June,3,5,3,2,3
06E8-4FD4,4,3,5,PR691,5,2015,Qtr 2,June,5,5,0,3,2
06E8-4FD4,5,4,4,PR2374,3,2018,Qtr 2,June,4,5,1,1,4
06E8-4FD4,4,5,4,PR1710,2,2017,Qtr 2,June,4,4,3,1,5
0742-C802,5,4,2,PR5014,5,2021,Qtr 2,May,27,3,3,3,5
0742-C802,5,4,2,PR6100,5,2022,Qtr 2,May,27,3,3,3,2
076F-8AA3,5,2,2,PR278,5,2014,Qtr 2,April,7,3,0,3,4
076F-8AA3,3,2,3,PR1034,3,2016,Qtr 2,April,6,4,2,3,4
076F-8AA3,4,2,3,PR98,3,2013,Qtr 2,April,7,3,1,2,3
076F-8AA3,4,2,4,PR597,5,2015,Qtr 2,April,7,4,0,1,5
076F-8AA3,5,3,2,PR3849,4,2020,Qtr 2,April,5,3,1,1,3
076F-8AA3,4,3,2,PR4838,5,2021,Qtr 2,April,5,3,1,3,5
076F-8AA3,4,3,3,PR1582,5,2017,Qtr 2,April,6,3,1,2,3
076F-8AA3,4,3,4,PR2980,5,2019,Qtr 2,April,6,4,1,1,2
076F-8AA3,1,4,4,PR5915,3,2022,Qtr 2,April,5,4,0,3,4
076F-8AA3,3,5,3,PR2234,2,2018,Qtr 2,April,6,3,1,1,4
07AF-3631,3,2,5,PR3275,4,2019,Qtr 3,August,2,5,1,2,3
07AF-3631,4,3,3,PR2484,5,2018,Qtr 3,August,2,4,1,2,3
07AF-3631,4,3,3,PR5200,3,2021,Qtr 3,August,1,3,1,2,2
07AF-3631,4,3,5,PR4184,2,2020,Qtr 3,August,1,5,1,2,3
07B2-D67A,5,3,2,PR592,5,2015,Qtr 2,April,3,3,0,3,4
07B2-D67A,3,3,3,PR3836,4,2020,Qtr 2,April,1,3,0,3,2
07B2-D67A,3,3,5,PR4825,4,2021,Qtr 2,April,1,5,1,1,2
07B2-D67A,3,4,2,PR2224,2,2018,Qtr 2,April,2,3,0,3,4
07B2-D67A,4,4,4,PR1028,5,2016,Qtr 2,April,2,5,1,3,4
07B2-D67A,4,4,4,PR5901,3,2022,Qtr 2,April,1,5,1,2,4
07B2-D67A,4,4,5,PR2969,5,2019,Qtr 2,April,2,5,0,1,5
07B2-D67A,3,5,4,PR1574,3,2017,Qtr 2,April,2,4,3,1,3
07C3-7429,4,3,2,PR3160,2,2019,Qtr 2,June,15,3,1,2,5
07C3-7429,5,3,2,PR6153,3,2022,Qtr 2,June,14,3,0,1,3
07C3-7429,5,5,2,PR5059,2,2021,Qtr 2,June,14,3,0,3,3
07C3-7429,4,5,3,PR4056,2,2020,Qtr 2,June,14,3,0,3,5
07F1-62C3,5,2,3,PR2540,5,2018,Qtr 3,September,8,3,3,2,5
07F1-62C3,4,2,3,PR5296,2,2021,Qtr 3,September,7,3,1,2,2
07F1-62C3,5,3,2,PR3345,5,2019,Qtr 3,September,8,3,0,2,3
07F1-62C3,4,3,3,PR4269,4,2020,Qtr 3,September,7,4,1,3,5
07F1-62C3,3,4,5,PR6402,4,2022,Qtr 3,September,7,5,0,2,2
07F5-A45D,2,1,3,PR6430,2,2022,Qtr 3,September,21,4,0,3,3
07F5-A45D,3,2,3,PR4296,4,2020,Qtr 3,September,21,3,0,1,4
07F5-A45D,3,2,3,PR5324,2,2021,Qtr 3,September,21,3,1,1,3
07F5-A45D,4,2,4,PR3365,2,2019,Qtr 3,September,22,5,1,3,2
07F5-A45D,1,2,4,PR394,1,2014,Qtr 3,September,23,5,2,3,2
07F5-A45D,4,2,4,PR767,3,2015,Qtr 3,September,23,4,1,3,2
07F5-A45D,4,4,3,PR1260,4,2016,Qtr 3,September,22,3,0,2,5
07F5-A45D,4,4,3,PR1858,4,2017,Qtr 3,September,22,4,2,2,4
07F5-A45D,4,5,5,PR2555,4,2018,Qtr 3,September,22,5,0,2,5
07F6-D61B,4,3,2,PR5339,5,2021,Qtr 3,September,26,3,3,1,4
07F6-D61B,3,3,5,PR4309,3,2020,Qtr 3,September,26,5,0,2,5
07F6-D61B,3,4,2,PR6444,5,2022,Qtr 3,September,26,3,1,1,3
0846-2064,3,1,4,PR4796,1,2021,Qtr 1,March,23,4,1,1,2
0846-2064,3,4,2,PR5867,4,2022,Qtr 1,March,23,3,0,1,3
085C-7FC2,5,3,3,PR4429,5,2020,Qtr 4,November,19,4,0,2,5
085C-7FC2,5,3,4,PR1947,4,2017,Qtr 4,November,20,5,0,1,4
085C-7FC2,4,3,4,PR5473,2,2021,Qtr 4,November,19,5,2,2,4
085C-7FC2,5,4,2,PR808,5,2015,Qtr 4,November,21,3,1,3,5
085C-7FC2,5,4,4,PR6591,2,2022,Qtr 4,November,19,5,1,3,4
085C-7FC2,4,5,2,PR1323,2,2016,Qtr 4,November,20,3,3,2,4
085C-7FC2,3,5,2,PR3480,2,2019,Qtr 4,November,20,3,2,1,2
085C-7FC2,5,5,5,PR2658,5,2018,Qtr 4,November,20,5,2,1,5
0868-097F,4,1,3,PR3438,4,2019,Qtr 4,October,31,3,2,1,1
0868-097F,2,1,3,PR6532,4,2022,Qtr 4,October,30,4,2,3,3
0868-097F,4,2,3,PR5417,2,2021,Qtr 4,October,30,3,3,3,4
0868-097F,5,2,4,PR2619,2,2018,Qtr 4,October,31,5,1,3,5
0868-097F,5,4,3,PR1910,3,2017,Qtr 4,October,31,4,1,1,2
0868-097F,4,4,3,PR4380,2,2020,Qtr 4,October,30,4,3,1,4
0868-097F,4,5,4,PR1297,5,2016,Qtr 4,October,31,4,1,2,4
08AC-30AB,5,3,2,PR6647,3,2022,Qtr 4,December,10,3,0,1,5
08E4-D3D5,4,1,5,PR4942,4,2021,Qtr 2,May,5,5,2,3,3
08E4-D3D5,3,2,2,PR322,5,2014,Qtr 2,May,7,3,0,1,3
08E4-D3D5,3,2,5,PR1648,4,2017,Qtr 2,May,6,5,0,2,4
08E4-D3D5,5,3,2,PR3062,4,2019,Qtr 2,May,6,3,0,2,3
08E4-D3D5,4,3,2,PR3946,2,2020,Qtr 2,May,5,3,1,2,2
08E4-D3D5,1,4,2,PR1093,2,2016,Qtr 2,May,6,3,2,1,3
08E4-D3D5,4,4,3,PR650,3,2015,Qtr 2,May,7,4,2,3,2
08E4-D3D5,5,4,5,PR6021,4,2022,Qtr 2,May,5,5,1,3,3
08E4-D3D5,5,5,3,PR2308,2,2018,Qtr 2,May,6,3,1,2,3
08FC-817E,5,2,2,PR4478,4,2020,Qtr 4,December,14,3,1,2,5
08FC-817E,3,2,3,PR3525,4,2019,Qtr 4,December,15,4,1,1,2
08FC-817E,4,2,4,PR5528,3,2021,Qtr 4,December,14,5,1,1,2
08FC-817E,5,3,3,PR2697,4,2018,Qtr 4,December,15,4,3,2,3
08FC-817E,3,4,2,PR6656,2,2022,Qtr 4,December,14,3,0,3,3
097B-A688,4,2,3,PR5575,2,2021,Qtr 4,December,29,4,2,3,2
097B-A688,4,2,4,PR4520,4,2020,Qtr 4,December,29,4,1,2,4
097B-A688,4,3,3,PR3561,2,2019,Qtr 4,December,30,3,0,2,2
097B-A688,4,3,5,PR6706,4,2022,Qtr 4,December,29,5,0,2,1
09D2-46BD,5,2,2,PR3266,4,2019,Qtr 3,July,28,3,1,1,2
09D2-46BD,3,3,5,PR4175,3,2020,Qtr 3,July,27,5,1,2,5
09D2-46BD,4,5,2,PR5191,3,2021,Qtr 3,July,27,3,2,2,5
09D2-46BD,5,5,3,PR6294,3,2022,Qtr 3,July,27,4,1,1,4
0A05-3943,3,2,3,PR335,3,2014,Qtr 2,May,17,4,1,1,4
0A05-3943,3,2,4,PR3974,5,2020,Qtr 2,May,15,5,0,1,2
0A05-3943,4,2,5,PR1113,2,2016,Qtr 2,May,16,5,0,2,2
0A05-3943,3,4,2,PR6051,2,2022,Qtr 2,May,15,3,0,3,5
0A05-3943,4,4,3,PR4970,4,2021,Qtr 2,May,15,4,1,2,4
0A05-3943,5,4,4,PR140,5,2013,Qtr 2,May,17,5,1,2,3
0A05-3943,5,5,2,PR2329,3,2018,Qtr 2,May,16,3,2,3,2
0A05-3943,3,5,3,PR666,5,2015,Qtr 2,May,17,3,2,3,4
0A05-3943,4,5,4,PR1668,2,2017,Qtr 2,May,16,4,1,2,2
0A05-3943,3,5,4,PR3088,2,2019,Qtr 2,May,16,5,1,1,4
0A4E-1A4A,4,2,4,PR5252,5,2021,Qtr 3,August,17,4,3,2,2
0A4E-1A4A,4,4,4,PR6357,3,2022,Qtr 3,August,17,4,2,1,3
0AA2-881A,3,2,4,PR6211,3,2022,Qtr 3,July,3,4,0,2,4
0AA2-881A,5,3,3,PR3202,2,2019,Qtr 3,July,4,3,0,1,2
0AA2-881A,5,3,4,PR4106,5,2020,Qtr 3,July,3,5,1,3,2
0AA2-881A,5,4,4,PR5112,3,2021,Qtr 3,July,3,5,2,2,5
0AE7-DDE2,5,2,2,PR5261,4,2021,Qtr 3,August,22,3,2,3,3
0AE7-DDE2,5,3,3,PR4239,5,2020,Qtr 3,August,22,4,1,2,5
0AE7-DDE2,3,4,2,PR6366,4,2022,Qtr 3,August,22,3,0,3,5
0AF4-EC15,5,3,2,PR4273,4,2020,Qtr 3,September,8,3,2,2,5
0AF4-EC15,3,3,5,PR6406,3,2022,Qtr 3,September,8,5,1,2,4
0AF4-EC15,3,5,3,PR5300,2,2021,Qtr 3,September,8,3,1,3,2
0B19-EFB2,5,4,2,PR4627,5,2021,Qtr 1,January,31,3,3,2,4
0B19-EFB2,4,4,4,PR5687,1,2022,Qtr 1,January,31,4,0,2,3
0B19-EFB2,3,5,3,PR3657,3,2020,Qtr 1,February,1,3,1,3,3
0B49-32CD,3,4,3,PR6679,4,2022,Qtr 4,December,22,3,0,1,3
0B72-0EE6,3,2,2,PR3414,2,2019,Qtr 4,October,20,3,1,3,4
0B72-0EE6,3,2,3,PR6503,3,2022,Qtr 4,October,19,3,1,2,2
0B72-0EE6,3,3,3,PR4351,3,2020,Qtr 4,October,19,3,2,3,5
0B72-0EE6,5,3,4,PR5388,4,2021,Qtr 4,October,19,4,2,3,2
